Gene	C3L-00017	C3L-00102	C3L-00277	C3L-00395	C3L-00589	C3L-00599	C3L-00622	C3L-00625	C3L-00640	C3L-00819	C3L-00881	C3L-00928	C3L-01031	C3L-01036	C3L-01051	C3L-01052	C3L-01053	C3L-01054	C3L-01328	C3L-01453	C3L-01598	C3L-01637	C3L-01689	C3L-01703	C3L-01971	C3L-02112	C3L-02115	C3L-02116	C3L-02463	C3L-02606	C3L-02610	C3L-02613	C3N-00198	C3N-00249	C3N-00436	C3N-00512	C3N-00513	C3N-00514	C3N-00517	C3N-00518	C3N-00954	C3N-00957	C3N-01011	C3N-01997	C3N-01998
A1BG	18.712465178026342	18.96042865897175	18.509168497073393	18.89912734314521	17.702366346361867	15.580246568061535	17.737243257397147	18.09433740867019	18.45300675646198	19.069627323975375	16.90778057242136	16.89082485209371	16.89492877094746	17.302300262623476	17.145237484406262	18.848004533803028	18.4488184069334	19.970397992620683	19.670555030863536	17.60376566481237	17.262539651931196	18.2284076010472	17.38736434500258	20.387248854753626	17.33611761010181	18.46812604114022	19.647516606525958	16.87582769127402	17.662662080462365	19.085466690602235	18.530708843753505	18.04721924002634	19.27100803856496	17.113774188949098	18.959795664923366	17.756789276964287	16.87414736545367	17.56874694491215	18.116393918208683	20.56732207086023	19.055348510768603	17.245443505927142	18.814609114995246	16.651295959967037	20.67165648466306
A1CF	16.207792780550804		15.588602006611305	12.330066630057015	16.71603662030376	16.79313825294858	14.931493223817988		16.82405878244866	14.562083688931398	16.13459583992799	15.979761831025913	16.368219966119014	17.252279079424852	16.298724007697768	15.849509021490894	15.742547428611237	16.424298366985873		11.974975521010775	15.836135477167685	15.924279408301508	16.69379375332429	14.572315880446448	15.550376991856645	16.28640877319268	14.8720842928535	16.746549466926226	16.819448474908324	15.603843514501062	15.718872253859189	16.834602717334025		16.22592706472169	15.316036080391362	16.34349855844265	15.700431056322232	15.694516934128956	15.45458434625514	16.46466194270766		16.353731456506104		16.131303914560565	19.764991273969198
A2M	21.68833041750495	22.716230570507317	20.050583775984016	21.802360222781434	20.629180049880357	18.687500271493303	19.91159474360333	20.993866269597895	21.071344773592386	20.725668070378457	20.225219608151303	19.610050189701163	20.20825098920691	19.93796440880644	19.77523987755571	21.309307698753177	20.561117411218575	21.253305285201822	23.13045069269973	20.42071363534459	19.792374692133478	20.775384524825093	21.019430526387332	23.727252328757892	21.681141508530448	22.05331970850135	21.769653728898916	20.608614109986593	21.60581396170586	21.44895137172703	21.449767997466434	20.906162142399218	22.510024369025903	19.389376436470773	22.30358322022258	19.52566723984243	20.043999402497537	21.067538813939425	20.9820490569163	22.852096112670722	22.149852378178714	19.385140894954127	21.550516798467587	19.233784080433157	22.350487405555512
A2ML1				14.055223321698731	14.43229275781515			12.973669539393384	16.670848698781413						15.94627850629528	19.015476494834854										17.362047921236005							15.21743097438031				18.668932283390088			15.231627267375485		18.464942670364366			16.05834270106073
AAAS					14.613044430824633		14.876866936900264	15.036439709118593		16.811279784287166		15.394175531228296	14.981802447068741		14.444564962239273	14.467228522211604	14.015658046654242				14.654364322061575	14.562015661395334	14.82459625380544	14.547985862936342	14.508317452263169	13.950889621747075	14.74315910239064	15.083625152535385		14.267566411127978	14.687282092972826	14.362886026834552		14.715960524961915		15.675566539164917	14.837276120036767	14.964616935485818	15.3307958125964	13.992601335182956		14.295753313457494		15.277474693061704	12.816247125479332
AACS	14.165054538403183				15.984457376915639		13.467078812311014	13.965740484466629				12.185471172045554											13.92911547312467	14.266413708729175	13.744722775551532	15.185940486371507			16.019316059345247			15.037574361035967				14.02877466667253	14.751202244807336	13.622884916794224		15.395687053512678		14.11695732805459		15.066705388195134	
AAGAB			15.467664535939194	15.676123148363004	14.90458298312784		13.955947100200266	13.985773435706397	16.24292159392111	13.076572579910598						13.23369644313447								13.933015103675489		14.682795984215533		13.083522689055705	14.36710112893462		13.913606405539507	15.501722167296242					13.273231565537776	13.29094991618704	13.207112538820171			13.31378821041905		13.787727580582997	13.85065412793461
AAK1	16.073773492721735	17.931400718745923	17.65134759869323	15.603321832679747	15.863639259890043	16.743128660961194	16.426521141052053	16.190537110659925	15.5947379683057	16.32993447015151		16.834110647801566	16.066388035304175	16.903751042867654	16.570923142110527	16.130765105066768	17.236740695767583	17.433087754350684	16.780113302431324	16.644544732053067	16.82850477911054	14.073317474435466	15.760418721436178	16.81502650314623	16.854784105481883	15.984316899259289	16.443226953738066	16.50585843201694	15.935695344489808	16.788521210638	16.586889870746067	15.952500033492349	16.07061916502794	16.356622535217497	16.635908745269475	16.192477172350742	16.206685123883403	16.35883878504673	16.2679693309009	15.741388499147261	16.433180070519818	16.1920718231653		16.335169121419927	16.020598029578515
AAMDC	17.292157017553237	15.030277477452666	14.279939617793847	15.582240001129884	16.123088032501542	12.872681612667128	15.407492147369036	16.26877895980927	15.018356350606181	16.223264987108	15.562708647998239	15.883971526542817	15.685230480423797	16.165913832099157	14.779614257055664	15.367707206299782	15.2811723422355		15.553305546038924	15.27451685400814	15.359101784963055	13.704611178201045	16.489495414084487	16.274494213096812	15.879828326354769	16.971763870265566	15.521061267798316	14.283885573582124	16.185260738247056	15.84168909416891	14.897338175774197	16.33666900805988	16.265293542668758	14.587112847221922	15.507895265943699	15.13496419735392	15.127097917377595	16.22288719926463	15.493551058232516	16.054749767390422	16.20695276371549	15.280999540302087		16.154027196336372	15.418912411184413
AAMP	15.613975976840738	14.81656212759729	15.360486406607869	14.80742310939433	15.457815014372963	15.022169319576745	15.256722551652397	15.628621265069484	14.811060491377802	15.024377164335007	15.554552266024428	15.535113088138754	15.496384281285886	14.19002902047226	15.112018883155624	15.09502638521206	14.83185720712861	15.67174118747193	14.956646622136683	15.672514121303672	15.350307207362505	14.934882823580036	15.135582195444057	15.140076970368288	15.654048026748484	15.180303068099304	15.226474950573953	15.414422586483395	15.420071609018052	15.090191919926603	15.491093418532227	15.396563267284991	15.124895082515437	15.652413382082687	15.61414386812533	15.460617093376996	15.177518909337458	15.175318154025412	15.426647075169377	15.322818883707923		15.308119746632874	15.509854506613907	15.313675543929481	15.420680107086065
